 Nom  de  l'hôtel , Localisation , Nombre  des  étoiles  d’hôtel , Prix , Nombre  d'utilisateur , Excellent , Très  bon , Moyen , Médiocre , Horrible , servies  proposer , classe 
Hôtel La Manufacture,"8 rue Philippe de Champagne | 13th Arr., 75013 Paris, France",3,120,1954,49,42,7,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Bar/lounge, Concierge, Accès personnes handicapés, Tous les détails de l'hôtel, ",3
Hotel Darcet,"4 rue Darcet | 17 Arr., 75017 Paris, France",2,80,852,69,25,4,1,0,"Wi-Fi gratuit, Parking, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Service de ménage, Tous les détails de l'hôtel, ",2
Novotel Paris Centre Gare Montparnasse,"17 rue du Cotentin, 75015 Paris, France",4,206,2158,29,51,15,4,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",3
Holiday Inn Express Paris-Canal de la Villette,"68 Quai De La Seine | 19 Arr., 75019 Paris, France",3,106,1288,36,46,12,3,0,"Wi-Fi gratuit, Parking, Petit déjeuner inclus, Climatisation, Hôtel non-fumeur, Restaurant, Chambres familiales, Tous les détails de l'hôtel, ",2
Fred Hotel,"11 AVENUE VILLEMAIN | 14th Arr., 75014 Paris, France",3,178,873,50,42,6,1,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Suites, Bar/lounge, Tous les détails de l'hôtel, ",3
Ibis Styles Paris Massena Olympiades,"82-84, rue Regnault | 13ème Arr., 75013 Paris, France",3,104,520,35,51,11,2,0,"Wi-Fi gratuit, Petit déjeuner inclus, Climatisation, Hôtel non-fumeur, Chambres familiales, Concierge, Animaux autorisés, Tous les détails de l'hôtel, ",2
Novotel Paris Gare de Lyon,"2 Rue Hector Malot, 75012 Paris, France",4,169,3258,31,50,13,0,0,"Wi-Fi gratuit, Parking, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Restaurant, Tous les détails de l'hôtel, ",3
Hôtel Eiffel Blomet,"78 rue Blomet, 75015 Paris, France",4,177,576,80,15,3,1,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Service d'étage, Suites, Tous les détails de l'hôtel, ",3
Hotel de L'Union,"65 rue des Pyrenees, 75020 Paris, France",0,68,190,35,46,15,2,0,"Wi-Fi gratuit, Parking gratuit, Piscine, Hôtel non-fumeur, Restaurant, Chambres familiales, Centre de remise en forme, Tous les détails de l'hôtel, ",1
CitizenM Paris Gare de Lyon,"8 rue Van Gogh, 75012 Paris, France",4,123,1452,58,29,7,3,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Hôtel non-fumeur, Restaurant, Bar sur le toit, Personnel multilingue, Tous les détails de l'hôtel, ",3
Hotel Molitor Paris - MGallery Collection,"13 Rue Nungesser Et Coli, 75016 Paris, France",5,260,1335,63,22,9,4,0,"Wi-Fi gratuit, Buffet petit déjeuner, Climatisation, Piscine, Hôtel non-fumeur, Restaurant, Service d'étage, Tous les détails de l'hôtel, ",3
